trainNo,trainName,from,to,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Type
657,ERS-SGTY PCET JPP,ERS,SGTY,,,,,,,1,PEXP
658,SGTY-ERS PECT JPP,SGTY,ERS,,,1,,,,,PEXP
6011,TBM-NCJ SF TOD SPL,TBM,NCJ,,1,,,,,,TOD
6012,NCJ-TBM SF TOD SPL,NCJ,TBM,1,,,,,,,TOD
6013,ALLP-QLN MEMU,ALLP,QLN,1,1,1,1,1,1,1,MEMU
6014,QLN-ALLP MEMU,QLN,ALLP,1,1,1,1,1,1,1,MEMU
6015,ERS-ALLP MEMU,ERS,ALLP,1,1,1,1,1,1,1,MEMU
6016,ALLP-ERS MEMU,ALLP,ERS,1,1,1,1,1,1,1,MEMU
6017,SRR-ERS MEMU,SRR,ERS,1,1,1,1,1,1,1,MEMU
6018,ERS-SRR MEMU,ERS,SRR,1,1,1,1,1,1,1,MEMU
6035,TBM -KCVL BI WKLY SPL TOD,TBM,KCVL,,,,,1,,1,TOD
6036,KCVL- TBM BI WKLY SPL TOD,KCVL,TBM,1,,,,,1,,TOD
6067,MS-NCJ VB SPL TOD,MS,NCJ,1,,,,1,1,1,TOD
6068,NCJ- MS VB SPL TOD,NCJ,MS,1,,,,1,1,1,TOD
6423,QLN-TVC PASSENGER,QLN,TVC,1,1,1,1,1,1,1,PAS
6424,TVC-QLN PASSENGER,TVC,QLN,1,1,1,1,1,1,1,PAS
6425,QLN-TVC PASSENGER,QLN,TVC,1,1,1,1,1,1,1,PAS
6426,NCJ-QLN PASSENGER,NCJ,QLN,1,1,1,1,1,1,1,PAS
6427,QLN-NCJ PASSENGER,QLN,NCJ,1,1,1,1,1,1,1,PAS
6428,NCJ-KCVL PASSENGER,NCJ,KCVL,1,1,1,1,1,1,1,PAS
6429,KCVL-NCJ PASSENGER,KCVL,NCJ,1,1,1,1,1,1,1,PAS
6430,NCJ-KCVL PASSENGER,NCJ,KCVL,1,1,1,1,1,1,1,PAS
6431,KTYM-QLN PASSENGER,KTYM,QLN,1,1,1,1,1,1,1,PAS
6433,KCVL-NCJ PASSENGER,KCVL,NCJ,1,1,1,1,1,1,1,PAS
6434,KTYM-ERS PASSENGER,KTYM,ERS,1,1,1,1,1,1,1,PAS
6435,TVC-NCJ PASSENGER,TVC,NCJ,1,1,1,1,1,1,1,PAS
6438,ERS-GUV PASSENGER,ERS,GUV,1,1,1,1,1,1,1,PAS
6439,GUV-ERS PASSENGER,GUV,ERS,1,1,1,1,1,1,1,PAS
6441,ERS-QLN MEMU EMU,ERS,QLN,1,1,1,,1,1,1,MEMU
6442,QLN-ERS MEMU EMU,QLN,ERS,1,1,,1,1,1,1,MEMU
6443,ERS-QLN MEMU,ERS,QLN,1,1,1,1,1,1,1,MEMU
6444,QLN-ERS MEMU,QLN,ERS,1,1,1,1,1,1,1,MEMU
6445,GUV-TCR PASSENGER,GUV,TCR,1,1,1,1,1,1,1,PAS
6446,TCR-GUV PASSENGER,TCR,GUV,1,1,1,1,1,1,1,PAS
6447,GUV-ERS PASSENGER,GUV,ERS,1,1,1,1,1,1,1,PAS
6448,ERS-GUV PASSENGER,ERS,GUV,1,1,1,1,1,1,1,PAS
6449,ERS-ALLP MEMU EMU,ERS,ALLP,1,1,1,1,1,1,1,MEMU
6450,KYJ-ERS PASSENGER,KYJ,ERS,1,1,1,1,1,1,1,PAS
6451,ERS-KYJ PASSENGER,ERS,KYJ,1,1,1,1,1,1,1,PAS
6452,ALLP-ERS PASSENGER,ALLP,ERS,1,1,1,1,1,1,1,PAS
6453,ERS-KTYM PASSENGER,ERS,KTYM,1,1,1,1,1,1,1,PAS
6461,SRR-TCR PASSENGER,SRR,TCR,1,1,1,1,1,1,1,PAS
6495,TCR-SRR PASSENGER,TCR,SRR,1,1,1,1,1,1,1,PAS
6497,SRR-TCR PASSENGER,SRR,TCR,1,1,1,1,1,1,1,PAS
6639,PUU-NCJ PASSENGER,PUU,NCJ,1,1,1,1,1,1,1,PAS
6640,CAPE-PUU PASSENGER,CAPE,PUU,1,1,1,1,1,1,1,PAS
6641,NCJ-TEN PASSENGER,NCJ,TEN,1,1,1,1,1,1,1,PAS
6642,TEN-NCJ PASSENGER,TEN,NCJ,1,1,1,1,1,1,1,PAS
6643,NCJ-CAPE PASSENGER,NCJ,CAPE,1,1,1,1,1,1,1,PAS
6661,PUU-QLN  MEMU,PUU,QLN,1,1,1,1,1,1,1,MEMU
6666,QLN-PUU MEMU,QLN,PUU,1,1,1,1,1,1,1,MEMU
6669,PUU-QLN MEMU,PUU,QLN,1,1,1,1,1,1,1,MEMU
6670,QLN-PUU MEMU,QLN,PUU,1,1,1,1,1,1,1,MEMU
6768,QLN-ERS EMU,QLN,ERS,1,,1,1,1,1,1,MEMU
6769,ERS-QLN EMU,ERS,QLN,1,,1,1,1,1,1,MEMU
6770,QLN-ALLP PASSENGER,QLN,ALLP,,1,1,1,1,1,1,PAS
6771,ALLP-QLN PASSENGER,ALLP,QLN,,1,1,1,1,1,1,PAS
6772,QLN-CAPE EMU,QLN,CAPE,1,1,1,1,1,,1,MEMU
6773,CAPE-QLN EMU,CAPE,QLN,1,1,1,1,1,,1,MEMU
6777,ERS-QLN EMU,ERS,QLN,1,1,1,,1,1,1,MEMU
6778,QLN-ERS  EMU,QLN,ERS,1,1,1,,1,1,1,MEMU
6785,KTYM-QLN MEMU,KTYM,QLN,1,1,1,1,1,1,1,MEMU
6786,QLN-KTYM MEMU,QLN,KTYM,1,1,1,1,1,1,1,MEMU
6797,PGT-ERS MEMU,PGT,ERS,1,1,,1,1,1,1,MEMU
6798,ERS-PGT MEMU,ERS,PGT,1,1,,1,1,1,1,MEMU
7435,KCG-NCJ,KCG,NCJ,,,,,,1,,TOD
7436,NCJ-KCG,NCJ,KCG,1,,,,,,,TOD
10215,MAO-ERS,MAO,ERS,1,,,,,,,SUF
10216,ERS-MAO EXPRESS,ERS,MAO,,1,,,,,,SUF
11097,PUNE-ERS POORNA EXPRESS,PUNE,ERS,,,,,,,1,MEX
11098,ERS-PUNE POORNA EXPRESS,ERS,PUNE,,1,,,,,,MEX
12075,CLT - TVC JAN SHATABDI ,CLT,TVC,1,1,1,1,1,1,1,JSH
12076,TVC - CLT JAN SHATABDI ,TVC,CLT,1,1,1,1,1,1,1,JSH
12081,CAN-TVC JAN SHATABDI EXP,CAN,TVC,,1,1,,1,1,1,JSH
12082,TVC-CAN JAN SHATABDI EXP,TVC,CAN,1,1,,1,1,1,,JSH
12201,LTT-KCVL GARIB RATH EXP,LTT,KCVL,,1,,,,1,,GBR
12202,KCVL-LTT GARIB RATH EXP,KCVL,LTT,1,,,,1,,,GBR
12217,KCVL SUF,KCVL,CDG,,1,,,,,1,SUF
12218,KERALA S.KRANTI EXP,CDG,KCVL,,,,1,,1,,SUF
12223,LTT-ERS DURONTO,LTT,ERS,,,1,,,,1,DRNT
12224,ERS-LTT DURONTO,ERS,LTT,1,,,1,,,,DRNT
12257,YPR-KCVL GARIBRATH EXP,YPR,KCVL,1,,1,,1,,,GBR
12258,KCVL-YPR GARIBRATH EXP,KCVL,YPR,,1,,1,,1,,GBR
12283,ERS-NZM DURONTO EXPRESS,ERS,NZM,,,1,,,,,DRNT
12284,NZM-ERS DURONTO EXPRESS,NZM,ERS,,,,,,,1,DRNT
12431,TVC-NZM RAJDHANI EXP,TVC,NZM,,,1,,1,1,,RAJ
12432,NZM-TVC RAJDHANI EXP,NZM,TVC,1,,1,1,,,,RAJ
12483,KCVL EXPRESS,KCVL,ASR,,,,1,,,,SUF
12484,KCVL EXPRESS,ASR,KCVL,1,,,,,,,SUF
12507,TVC-SCL EXPRESS,TVC,SCL,,,1,,,,,SUF
12508,SCL-TVC EXPRESS,SCL,TVC,,,,,1,,,SUF
12511,RAPTISAGAR EXPRESS,GKP,KCVL,1,,,,1,1,,SUF
12512,RAPTISAGAR EXP,KCVL,GKP,1,,1,1,,,,SUF
12521,BJU-ERS RAPTI SAGAR EXP,BJU,ERS,,1,,,,,,SUF
12522,ERS-BJU RAPTI SAGAR EXP,ERS,BJU,,,,,,1,,SUF
12617,ERS-NZM MANGALA SF EXP,ERS,NZM,1,1,1,1,1,1,1,SUF
12618,NZM-ERS MANGALA LKSDP EXP,NZM,ERS,1,1,1,1,1,1,1,SUF
12623,MAS-TVC TRIVANDRUM MAIL,MAS,TVC,1,1,1,1,1,1,1,SUF
12624,TVC-MAS CHENNAI MAIL ,TVC,MAS,1,1,1,1,1,1,1,SUF
12625,TVC-NDLS KERALA SF EXP ,TVC,NDLS,1,1,1,1,1,1,1,SUF
12626,NDLS-TVC SF EXP,NDLS,TVC,1,1,1,1,1,1,1,SUF
12633,MS-CAPE SF EXP,MS,CAPE,1,1,1,1,1,1,1,SUF
12634,CAPE-MS SF EXP,CAPE,MS,1,1,1,1,1,1,1,SUF
12641,CAPE- NZM  SF EXP,CAPE,NZM,,,,1,,1,,SUF
12642,NZM-CAPE BI-WKLY SF EXP,NZM,CAPE,,1,,,,,1,SUF
